,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
22,2019-05-13,6938.02,8395.47,6841.02,8200.0,22444.352069,2019-05-19 23:59:59.999,173056185.15108454,304811,10004.676665,77154712.39133038,0
23,2019-05-20,8200.0,8787.0,7464.94,8733.12,15803.053988,2019-05-26 23:59:59.999,125922143.04840063,223148,7225.366954,57553970.30461875,0
24,2019-05-27,8733.87,9088.0,7988.88,8743.6,15511.189947,2019-06-02 23:59:59.999,133441873.85801847,234946,7731.866331,66541626.30498502,0
25,2019-06-03,8743.6,8752.45,7441.21,7638.29,14086.213439,2019-06-09 23:59:59.999,111561054.53494997,179301,7006.145015,55504900.94982183,0
26,2019-06-10,7638.3,9386.37,7524.35,8988.07,14085.929106,2019-06-16 23:59:59.999,118094046.41157313,148933,6987.246207,58495890.34856714,0
27,2019-06-17,8976.6,11290.0,8938.57,10847.25,16295.945847,2019-06-23 23:59:59.999,162103109.7648431,203468,8515.486671,84892918.73675461,0
28,2019-06-24,10829.63,13864.42,10300.0,10748.93,29111.359875,2019-06-30 23:59:59.999,344885681.54948246,431339,14934.682225,177248610.38686672,0
29,2019-07-01,10748.93,12040.0,9668.33,11480.77,20081.608782,2019-07-07 23:59:59.999,219740735.6960632,287998,9892.16222,108318884.80034573,0
30,2019-07-08,11476.59,13174.99,10101.0,10180.0,20946.96236,2019-07-14 23:59:59.999,246473328.36998317,331962,9823.752548,115913452.79644804,0
31,2019-07-15,10183.76,11100.0,9077.0,10589.32,22285.368723,2019-07-21 23:59:59.999,226917032.94151953,287105,10200.387962,103993437.14887612,0
32,2019-07-22,10598.28,10691.59,9120.0,9534.99,10886.316248,2019-07-28 23:59:59.999,107376567.62535483,171501,4951.728622,48858277.37644648,0
33,2019-07-29,9527.01,11077.0,9356.28,10974.15,12780.383513,2019-08-04 23:59:59.999,131130477.11540617,173803,5855.572949,59893721.56027206,0
34,2019-08-05,10975.44,12315.55,10971.67,11539.4,20320.196395,2019-08-11 23:59:59.999,237035180.66032103,241097,9416.88573,109824434.59087273,0
35,2019-08-12,11539.4,11550.78,9730.6,10316.56,17790.410187,2019-08-18 23:59:59.999,184935086.67594868,214153,7945.147578,82463844.96663602,0
36,2019-08-19,10314.1,10952.1,9751.7,10136.39,15874.809308,2019-08-25 23:59:59.999,163469752.28554282,157247,7196.308384,74030134.98228858,0
37,2019-08-26,10135.11,10638.85,9315.07,9758.57,12757.860056,2019-09-01 23:59:59.999,125851258.74713801,115143,5546.504071,54685865.41699259,0
38,2019-09-02,9749.36,10923.0,9741.46,10398.27,13773.682355,2019-09-08 23:59:59.999,143936670.7256605,125187,6027.882371,62993673.43610989,0
39,2019-09-09,10402.8,10538.91,9857.0,10314.99,10960.355455,2019-09-15 23:59:59.999,112219640.94250247,109823,5230.967377,53591593.94324174,0
40,2019-09-16,10314.99,10382.75,9600.0,10025.82,11862.248496,2019-09-22 23:59:59.999,119691128.50239244,155300,5216.58444,52574785.52401076,0
41,2019-09-23,10025.31,10050.4,7725.0,8056.34,25519.990706,2019-09-29 23:59:59.999,217346778.69908074,232134,11690.789654,99470457.8258331,0
42,2019-09-30,8053.96,8520.74,7701.06,7861.42,13324.001605,2019-10-06 23:59:59.999,108532172.69234958,138612,5832.846799,47521187.414376,0
43,2019-10-07,7860.61,8812.68,7761.21,8280.95,12403.68342,2019-10-13 23:59:59.999,103327387.8191564,136790,5267.946714,43819514.77656619,0
44,2019-10-14,8276.76,8416.0,7802.0,8231.82,9883.71885,2019-10-20 23:59:59.999,79935411.97601126,94165,4727.410265,38215745.80004312,0
45,2019-10-21,8237.38,10377.12,7290.0,9561.77,28118.803847,2019-10-27 23:59:59.999,241260930.21097422,187148,12696.407667,109252452.05163613,0
46,2019-10-28,9559.55,9940.34,8945.86,9203.83,15779.596062,2019-11-03 23:59:59.999,146802365.6835002,114123,6747.447507,62777681.99250264,0
47,2019-11-04,9203.83,9654.0,8661.86,9035.0,10183.131865,2019-11-10 23:59:59.999,92761199.58467588,80439,4552.560276,41435881.12127393,0
