,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2017-07-10,0.08,0.093699,0.075591,0.082241,14859.281,2017-07-16 23:59:59.999,1255.48279377,14754,8884.298,748.71065665,0
1,2017-07-17,0.082368,0.109068,0.074982,0.083533,49431.897,2017-07-23 23:59:59.999,4327.14317201,54321,29901.52,2622.65967296,0
2,2017-07-24,0.083438,0.083973,0.064335,0.070109,69342.178,2017-07-30 23:59:59.999,5239.21152518,72039,37110.08,2810.49302321,0
3,2017-07-31,0.070406,0.08526,0.06759,0.081029,88661.947,2017-08-06 23:59:59.999,6940.64207614,89359,44653.557,3496.13610006,0
4,2017-08-07,0.081029,0.093578,0.068007,0.073824,114725.151,2017-08-13 23:59:59.999,9492.80829963,110031,56600.319,4680.71773223,0
5,2017-08-14,0.07385,0.079911,0.066161,0.072198,175746.27,2017-08-20 23:59:59.999,12497.99686,162857,79307.72,5636.84046728,0
6,2017-08-21,0.072198,0.088658,0.07001,0.080436,281150.806,2017-08-27 23:59:59.999,21853.77576415,225937,143081.961,11113.98586872,0
7,2017-08-28,0.080649,0.085085,0.07374,0.075938,221309.526,2017-09-03 23:59:59.999,17717.15032989,203718,117701.735,9424.84724653,0
8,2017-09-04,0.076031,0.076071,0.065,0.070127,181569.165,2017-09-10 23:59:59.999,12858.63425708,181268,91675.713,6498.41982972,0
9,2017-09-11,0.070599,0.072784,0.065,0.069848,64138.338,2017-09-17 23:59:59.999,4475.65929746,81224,29124.319,2037.01794804,0
10,2017-09-18,0.069848,0.077998,0.069615,0.077123,132280.419,2017-09-24 23:59:59.999,9740.29417282,129279,63946.892,4708.21078271,0
11,2017-09-25,0.077184,0.0773,0.068109,0.069105,283371.419,2017-10-01 23:59:59.999,20517.76849499,255293,145448.683,10547.83805566,0
12,2017-10-02,0.069104,0.072239,0.0665,0.067053,236753.558,2017-10-08 23:59:59.999,16301.34797169,260139,112314.594,7737.75098584,0
13,2017-10-09,0.066964,0.067457,0.051084,0.059281,275329.312,2017-10-15 23:59:59.999,16671.06549966,269451,128741.715,7806.99626407,0
14,2017-10-16,0.059107,0.062166,0.04705,0.048973,199460.163,2017-10-22 23:59:59.999,10852.96021495,171852,98165.607,5352.22847113,0
15,2017-10-23,0.049336,0.056,0.047177,0.04965,207983.119,2017-10-29 23:59:59.999,10689.76532212,168028,98628.858,5068.85124466,0
16,2017-10-30,0.049364,0.0512,0.037589,0.040147,281447.476,2017-11-05 23:59:59.999,12224.33008581,248981,131344.513,5718.98572451,0
17,2017-11-06,0.04014,0.054,0.0385,0.052038,548721.054,2017-11-12 23:59:59.999,25244.92967626,416064,256976.788,11855.44733618,0
18,2017-11-13,0.052094,0.054661,0.040914,0.043969,572413.686,2017-11-19 23:59:59.999,26346.63978663,318707,261714.968,12064.8000998,0
19,2017-11-20,0.043969,0.059401,0.043673,0.050704,831863.94,2017-11-26 23:59:59.999,40728.45907786,585249,393806.614,19265.06092569,0
20,2017-11-27,0.050697,0.0512,0.040418,0.041141,778112.257,2017-12-03 23:59:59.999,34912.19830847,712053,373463.562,16733.15708148,0
